Country Name,Series Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,CO2 emissions (metric tons per capita),0.16,0.11,0.1,0.09190874,0.085415681,0.079225296,0.072842693,0.068789158,0.056416539,0.053557004,0.053668977,0.06562926,0.072722625,0.054850218,0.080382946,0.089823456,0.109912245,0.165226842,0.23880237,0.303214645,0.407591966,0.334035296,0.297319609,0.283032202,0.297282459,0.267860694,0.280837184,0.298624727,0.296882768,0.222925457,..,..
Albania,CO2 emissions (metric tons per capita),1.26,0.69,0.64,0.649938146,0.612055271,0.62120565,0.469830997,0.576804442,0.96029694,1.031567545,1.056868354,1.233001531,1.361158778,1.427944204,1.360092207,1.363988602,1.433796507,1.428249586,1.492116704,1.64276193,1.768108509,1.565921402,1.656389503,1.795712442,1.665218525,1.590069333,1.880557113,1.85464154,1.749462457,1.544550115,..,..
Algeria,CO2 emissions (metric tons per capita),2.56,2.51,2.65,2.639418496,2.684920519,2.62197102,2.516394826,2.483821443,2.543295914,2.590184997,2.510131986,2.595342768,2.740844071,2.742795009,2.844757971,2.968420366,3.005321881,3.094626783,3.160630981,3.155152409,3.273004074,3.584274691,3.619083697,3.768271475,3.904918521,3.785840157,3.782850846,3.870931997,3.940043626,3.668377144,..,..
Andorra,CO2 emissions (metric tons per capita),7.18,6.76,6.49,6.294558286,6.650143948,7.100775194,7.192086553,7.50934508,7.806422158,7.976737459,7.956508534,7.98845217,7.698586766,7.542441978,7.430128776,6.859785135,6.57825763,6.450781484,6.158497044,6.401308453,6.312124757,6.3424005,6.334547969,6.260954473,6.447307895,6.497443926,6.308420211,6.580985072,6.276433821,5.801039015,..,..
Angola,CO2 emissions (metric tons per capita),0.56,0.55,0.72,0.852711792,0.928444242,1.089720515,1.101940307,1.106107972,1.124207303,1.0005737,0.952749855,0.905457788,0.934299436,0.938344252,0.819608524,0.827297986,0.816533926,0.893257712,0.943351066,0.97882255,0.985442775,0.947993267,1.030310002,1.090193728,1.123983488,1.011569379,0.829003918,0.755257147,0.753125066,0.592341688,..,..
Antigua and Barbuda,CO2 emissions (metric tons per capita),3.49,3.39,3.38,3.36908876,3.44923668,3.660288456,3.766202694,3.94962161,4.062932696,4.171561299,4.231684392,4.350140201,4.631246469,4.667234086,4.731758174,4.937720212,5.130715754,5.163305673,5.388901429,5.459446789,5.283093175,5.385056154,5.369958212,5.369233369,5.48266953,5.563027265,5.527921475,5.593559598,5.571122105,5.167345339,..,..
Argentina,CO2 emissions (metric tons per capita),3.19,3.2,3.23,3.233129533,3.218894657,3.450656482,3.508385258,3.647497062,3.655473908,3.554188125,3.329057344,3.088722344,3.322209118,3.642227585,3.722778017,3.909874574,4.068799868,4.136928254,3.832288524,4.050171701,4.232897347,4.220778843,4.303549431,4.174423662,4.267772587,4.172150208,4.047680667,3.961372018,3.739138178,3.419543718,..,..
Armenia,CO2 emissions (metric tons per capita),5.72,3.01,1.44,0.804809473,1.039055431,0.75697182,1.024030824,1.08854847,0.979703128,1.105522958,1.121489507,0.974654666,1.098318932,1.189231887,1.417779049,1.435579291,1.674840703,1.84169609,1.471232877,1.424264319,1.630536015,1.890314474,1.820483124,1.817970668,1.778406443,1.693245998,1.802812647,1.923947457,2.091341772,2.278102313,..,..
Australia,CO2 emissions (metric tons per capita),15.32,15.35,15.48,15.7309148,16.11460158,16.47101442,16.70617608,17.60233354,17.73724311,17.8373184,17.93072692,18.12321078,17.89453913,18.36887105,18.27847309,18.29274959,18.45473766,18.23928987,18.15720084,17.97375152,17.65605534,17.40561767,16.7945881,16.15574514,16.19845822,16.32033061,16.1491503,15.86571352,15.59904536,14.77613691,..,..
Austria,CO2 emissions (metric tons per capita),8.05,7.35,7.31,7.344674059,7.698069947,8.15463769,8.06021204,8.107660865,7.889457434,7.930858961,8.444656269,8.583836811,9.169316756,9.275870702,9.266405512,8.962101511,8.588766398,8.500238419,7.721228101,8.36562481,8.136189778,7.723851662,7.754017979,7.260930858,7.318859537,7.290777216,7.487036755,7.141140211,7.263331201,6.632645737,..,..
